Price,Date,Link,Text
6499,27. sep,https://www.dba.dk/acer-ekstremt-god-gamer-pc/id-1094724491/ ,Acer  Ekstremt god gamer pc (BILLIGT)  Jeg har denne ekstremt gode gamer pc  som er i stand til at trække de mest populære spil på markedet  i bedste opløsning. Den kan bl.a. trække PUBG  CS:GO  Fortnite  GTA  Call Of Duty  osv. Specifikationer: GTX 1080 Ti Asus Rog Strix  Bedre end RTX 2080 i flere spil. I59400F  På niveau med I78700 ifølge Userbenchmark.com. 16gb DDR4 ram  3.600 MHz. 1.000gb SSD.Jeg bytter gerne med en anden pc + penge den ene eller den anden...
6499,22. sep,https://www.dba.dk/acer-verdensklasse-gamer-pc/id-1094558843/ ,Acer  Verdensklasse gamer pc (SPOTPRIS)  Jeg har denne ekstremt gode gamer pc  som er i stand til at trække de mest populære spil på markedet  i bedste opløsning. Den kan bl.a. trække PUBG  CS:GO  Fortnite  GTA  Call Of Duty  osv. Specifikationer: GTX 1080 Ti Asus Rog Strix  Bedre end RTX 2080 i flere spil. Ryzen 5 2600X  På niveau med I77700. 16gb DDR4 ram  3.200 MHz. 1.000gb NVMe M.2 SSD. MSI B450 Gaming Pro Carbon.Jeg bytter gerne med en anden pc + penge den...
6499,24. aug,https://www.dba.dk/acer-verdensklasse-gamer-pc/id-1093625077/ ,Acer  Verdensklasse gamer pc (I99900K)  Jeg har denne ekstremt gode gamer pc  som er i stand til at trække de mest populære spil på markedet  i bedste opløsning. Den kan bl.a. trække PUBG  CS:GO  Fortnite  GTA  Call Of Duty  osv. Specifikationer: I99900K  5 00GHz (6 måneder gammel). GTX 1070 Ti  På niveau med RTX 2060 og GTX 1080. 16gb DDR4 ram. 1.000gb HDD. 250gb SSD.Jeg bytter gerne med en anden pc + penge den ene eller den anden vej.Den kan afhentes eller...
6499,19. aug,https://www.dba.dk/acer-verdensklasse-gamer-pc/id-1093450308/ ,Acer  Verdensklasse gamer pc (SPOTPRIS)  Jeg har denne ekstremt gode gamer pc  som er i stand til at trække de mest populære spil på markedet  i bedste opløsning. Den kan bl.a. trække PUBG  CS:GO  Fortnite  GTA  Call Of Duty  osv. Specifikationer: GTX 1080 Ti  Bedre end RTX 2080 i flere spil. Ryzen 5 2600X  4 20 GHz  50% flere tråde end I79700K. 16gb DDR4 ram  3.600 MHz. 1.000gb SSD. Asus Rog Strix B550F Gaming. Asus Rog Strix LC 240 RGB.Jeg bytter gerne med...
6499,9. aug,https://www.dba.dk/acer-verdensklasse-gamer-pc/id-1093178901/ ,Acer  Verdensklasse gamer pc (BILLIGT)  Jeg har denne ekstremt gode gamer pc  som er i stand til at trække de de mest populære spil på markedet. Den kan bl.a. trække PUBG  CS:GO  Fortnite  GTA  Call Of Duty  osv. Specifikationer: GTX 1080 Ti Asus Rog Strix  Bedre end RTX 2080 i flere spil. I59600KF  4.60 GHz  På niveau med I911900 til gaming  ifølge Userbenchmark.com. 16gb DDR4 ram.  480gb SSD  Mere plads kan tilkøbes.Jeg bytter gerne med en anden pc + penge den...
7000,9. nov,https://www.dba.dk/intel-6-core-i5-8400-van/id-1096111906/ ,Intel  6 core i58400 + vandkølet 1080 ti + 16GB RAMJeg er begyndt at kigge på nyt hardware og vil derfor gerne have bud på min nuværende maskine.Alt kører upåklageligt og er lige blevet støvet af. Maskinen trækker Hell Let Loose på ultra uden problemer. CPU og GPU ligger fint under hhv. 80 og 70 grader.Komponenter:GTX 1080 Ti  ZOTAC mini + NZXT Kraken G12 og 120mm AIO6 core CPU  Intel i58400500GB m.2  Samsung 960 EVO16 GB RAM  Corsair / DDR4 / 2133 MHz /...
7999,15. nov,https://www.dba.dk/andet-maerke-saelger-dette-v/id-1096310427/ ,Andet mærke  Sælger dette vanvittige gamer setup da jeg skal flytte til Spanien..Samlet for det hele:MussemåtteTrådløs gamer musGamer keyboardGamer skærm 24”PcKr. 8.000  Alt virker og PC’en kan trække ALT  har netop formateret den så den er klar til næste ejer.Beskrivelse:Andet mærke  Top gamer i7 + 1070ti + SSD  24 GB ramMax fed gamer pc der kan trække de nyeste og mest krævende spil titler. Maskinen er med en kraftig med i7 processor og et kraftigt nvidia...
10000,16. sep,https://www.dba.dk/excellent-bundle-pc/id-1094352272/ ,Excellent bundle PC                        Andet  Custom  God  Excellent bundle PCIn short: i7 5960x OC 4.4Ghz  32GB DDR4 RAM  Asus Strix GTX 1080 TI 11GB  256GB SSD  1TB SSD  1500W PSU`  27 GSync 2560x1440 144Hz  G PRO X  G502In Detail:CPU: 1x Intel 5960X Extreme 3.00GHz (HaswellE) Socket LGA2011V3 ProcessorRAM: 1x Crucial Ballistix Sport 32GB (4x8GB) DDR4 PC419200C16 2400MHz Quad Channel KitMotherboard: 1x Asus Rampage V Extreme Intel X99 (Socket 2011) DDR EATX MotherboardGPU: 1x Asus GeForce GTX 1080Ti ROG...
11000,24. okt,https://www.dba.dk/andet-perfekt-hej-jeg-sael/id-1095619076/ ,Andet  Perfekt  Hej jeg sælger min gamer pc samt alt udstyr.Grafikkort geforce gtx 1080 ti rog strix 11gbUdover pc medfølger derSteelseries arctis pro headset Steelseries apex 7 tkl tastatur Steelseries rival 600 musMicrophon stativ Hyperx quadcast sStream deck mini2 stk VG259QMAlt har ca. en samlet værdi på 30.000
13499,21. aug,https://www.dba.dk/selvbyg-speciel-4500-ghz-16/id-1093511086/ ,Selvbyg  Speciel  4500 Ghz  16 GB ram  480 GB harddisk  Perfekt  DET ULTIMATIVE GAMER SET UP !!!!Her er den helt perfekte gamer computer som spillenørden ikke kan leve foruden ????. Der følger nedenstående med:Stol sandberg gaming chair nypris 1700 krAsus supreme gaming experience monitor 2 stk skærme  nypris i alt 3400  krAsus geforce gtx 1080 ti 11gb grafik. Nypris ca. 7000 krTastatur Razer BlackWidow 2019 (Nordic) nypris 600 krHøre telefoner cloud 2  nypris 550...
